model,group_kfold_mae,group_kfold_rmse,group_kfold_r2,unseen_user_mae,unseen_user_rmse,unseen_user_r2,temporal_mae,temporal_rmse,temporal_r2
Historical Mean Baseline,9.31,11.19,0.277,10.21,12.11,0.152,10.57,12.25,0.336
Most Recent Score Baseline,5.27,6.78,0.739,5.14,6.46,0.759,5.15,6.41,0.818
Recent 3-Attempt Avg Baseline,7.0,8.47,0.587,7.4,8.72,0.56,7.38,8.61,0.671
Ridge Regression,3.62,4.82,0.868,3.04,3.78,0.917,3.21,4.11,0.925
Random Forest Regressor,3.89,5.07,0.854,3.29,4.08,0.904,3.78,4.69,0.903
Gradient Boosting Regressor,3.85,5.06,0.855,3.23,3.99,0.908,3.67,4.55,0.908
HistGradientBoosting Regressor,3.84,5.06,0.855,3.22,4.04,0.906,3.76,4.6,0.906
Extra Trees Regressor,3.81,5.0,0.858,3.17,3.93,0.911,3.7,4.57,0.907
